,state,abbreviation,voting_population,age_18_29,age_30_44,age_45_64,age_Over65,male,female,white,african_american,american_indian,asian,pacific,latino,not_latino,college_educated_rate,poverty_rate,hh_income_over100k_rate,gun_ownership_rate,adult_obesity_rate,unemployment_rate,pct_obama_2012,pct_romney_2012,pct_johnson_2012,pct_stein_2012,pct_other_2012,total_votes_2012,ev_dem_2016,ev_rep_2016,total_votes_2016,pct_clinton_2016,pct_trump_2016,pct_johnson_2016,pct_other_2016,poll_clinton_2016,poll_trump_2016,poll_johnson_2016
21,Michigan,MI,7436478,0.207,0.223,0.36200000000000004,0.20800000000000002,0.485,0.515,0.816,0.136,0.005,0.018000000000000002,0.0,0.032,0.968,0.27399999999999997,0.135,0.204,0.29,0.31,0.05,0.54,0.45,0.0,0.0,0.0,4730961,16,0,"4,806,876",0.4713,0.474,0.0359,0.0187,0.48,0.44,0.06
22,Minnesota,MN,4007159,0.201,0.243,0.358,0.19899999999999998,0.491,0.509,0.892,0.043,0.009000000000000001,0.031,0.0,0.025,0.975,0.349,0.087,0.28300000000000003,0.37,0.26,0.04,0.53,0.45,0.01,0.0,0.01,2936561,0,10,"2,944,782",0.4645,0.4493,0.0384,0.0479,0.49,0.43,0.07
23,Mississippi,MS,2220616,0.221,0.247,0.33399999999999996,0.198,0.475,0.525,0.613,0.365,0.004,0.006999999999999999,0.0,0.015,0.985,0.20800000000000002,0.18899999999999997,0.14,0.43,0.36,0.06,0.44,0.55,0.01,0.0,0.0,1285584,6,0,"1,184,080",0.3948,0.5842,0.012,0.009000000000000001,0.41,0.55,0.03
24,Missouri,MO,4567771,0.20800000000000002,0.237,0.349,0.207,0.483,0.517,0.851,0.111,0.005,0.011000000000000001,0.001,0.023,0.977,0.27699999999999997,0.128,0.19699999999999998,0.27,0.32,0.05,0.44,0.54,0.02,0.0,0.0,2757323,10,0,"2,776,519",0.3799,0.5711,0.0347,0.0142,0.41,0.51,0.06
25,Montana,MT,797198,0.20199999999999999,0.22699999999999998,0.348,0.223,0.5,0.5,0.91,0.004,0.055,0.006999999999999999,0.0,0.026000000000000002,0.9740000000000001,0.306,0.132,0.182,0.52,0.24,0.04,0.42,0.55,0.03,0.0,0.0,484048,3,0,"494,525",0.3594,0.5647,0.0567,0.0193,0.37,0.52,0.09
26,Nebraska,NE,1352947,0.215,0.245,0.335,0.204,0.491,0.509,0.917,0.043,0.008,0.011000000000000001,0.001,0.055999999999999994,0.9440000000000001,0.307,0.10300000000000001,0.22699999999999998,0.2,0.31,0.03,0.38,0.6,0.01,0.0,0.01,794379,5,0,"815,648",0.341,0.6016,0.0469,0.0105,0.37,0.54,0.07
27,Nevada,NV,1942764,0.212,0.245,0.33799999999999997,0.205,0.5,0.5,0.722,0.09,0.012,0.076,0.006999999999999999,0.17800000000000002,0.8220000000000001,0.252,0.11699999999999999,0.21600000000000003,0.38,0.27,0.06,0.52,0.46,0.01,0.0,0.01,1014918,0,6,"1,122,990",0.4789,0.4553,0.0332,0.0326,0.47,0.46,0.06
28,NewHampshire,NH,1035684,0.19399999999999998,0.213,0.385,0.20800000000000002,0.488,0.512,0.9570000000000001,0.012,0.001,0.013999999999999999,0.0,0.023,0.977,0.353,0.07400000000000001,0.325,0.14,0.26,0.03,0.52,0.46,0.01,0.0,0.0,710972,0,4,"744,181",0.4683,0.4647,0.0412,0.0258,0.48,0.44,0.07
29,NewJersey,NJ,6154126,0.195,0.228,0.37,0.207,0.478,0.522,0.727,0.13699999999999998,0.002,0.07,0.0,0.142,0.858,0.382,0.084,0.376,0.11,0.26,0.05,0.58,0.41,0.01,0.0,0.0,3640292,0,14,"3,846,836",0.5472,0.4126,0.0186,0.0216,0.54,0.42,0.03
30,NewMexico,NM,1470045,0.22,0.23,0.33299999999999996,0.217,0.49,0.51,0.757,0.023,0.09300000000000001,0.01,0.001,0.415,0.585,0.278,0.16699999999999998,0.185,0.5,0.29,0.07,0.53,0.43,0.04,0.0,0.0,783758,0,5,"798,294",0.4825,0.4005,0.0934,0.0236,0.46,0.4,0.13
31,NewYork,NY,13704991,0.22,0.231,0.345,0.204,0.47600000000000003,0.524,0.6990000000000001,0.151,0.004,0.064,0.0,0.141,0.8590000000000001,0.364,0.124,0.306,0.1,0.25,0.05,0.63,0.35,0.01,0.01,0.0,7081159,0,29,"7,113,118",0.5834,0.3711,0.0228,0.0227,0.57,0.38,0.04
32,NorthCarolina,NC,7296335,0.21100000000000002,0.23600000000000002,0.34700000000000003,0.205,0.47700000000000004,0.523,0.7240000000000001,0.221,0.012,0.017,0.0,0.036000000000000004,0.9640000000000001,0.299,0.136,0.195,0.29,0.3,0.05,0.48,0.5,0.01,0.0,0.0,4505372,15,0,"4,701,936",0.4614,0.4988,0.0273,0.0125,0.48,0.48,0.04
33,NorthDakota,ND,571119,0.258,0.23800000000000002,0.318,0.18600000000000003,0.512,0.488,0.909,0.015,0.042,0.006999999999999999,0.001,0.027000000000000003,0.973,0.29,0.105,0.27,0.48,0.31,0.03,0.39,0.58,0.02,0.0,0.01,322627,3,0,"344,360",0.2723,0.6296,0.0622,0.0359,0.34,0.57,0.07
34,Ohio,OH,8765154,0.204,0.23199999999999998,0.35700000000000004,0.20800000000000002,0.48200000000000004,0.518,0.848,0.11599999999999999,0.002,0.011000000000000001,0.0,0.024,0.976,0.264,0.126,0.205,0.2,0.3,0.05,0.51,0.48,0.01,0.0,0.0,5580847,18,0,"5,380,096",0.4307,0.5152,0.0313,0.0228,0.46,0.48,0.05
35,Oklahoma,OK,2807548,0.22,0.245,0.332,0.203,0.48700000000000004,0.513,0.767,0.07400000000000001,0.071,0.013000000000000001,0.001,0.051,0.9490000000000001,0.251,0.136,0.187,0.31,0.34,0.05,0.33,0.67,0.0,0.0,0.0,1334872,7,0,"1,452,992",0.2893,0.6532,0.0575,0.0,0.33,0.59,0.08
36,Oregon,OR,2956232,0.19699999999999998,0.24100000000000002,0.342,0.21899999999999997,0.489,0.511,0.888,0.018000000000000002,0.012,0.03,0.003,0.067,0.9329999999999999,0.32799999999999996,0.134,0.228,0.27,0.3,0.05,0.54,0.42,0.01,0.01,0.01,1789270,0,7,"1,978,424",0.501,0.3912,0.0469,0.0608,0.51,0.42,0.06
37,Pennsylvania,PA,9752322,0.20199999999999999,0.221,0.35600000000000004,0.221,0.48200000000000004,0.518,0.846,0.10300000000000001,0.002,0.021,0.0,0.047,0.953,0.294,0.111,0.239,0.27,0.3,0.06,0.52,0.47,0.01,0.0,0.0,5753670,20,0,"6,036,846",0.4731,0.484,0.0237,0.0192,0.49,0.45,0.05
38,RhodeIsland,RI,784997,0.21899999999999997,0.217,0.35100000000000003,0.212,0.47200000000000003,0.528,0.863,0.051,0.003,0.022000000000000002,0.0,0.095,0.905,0.336,0.11800000000000001,0.27699999999999997,0.06,0.26,0.06,0.63,0.35,0.01,0.01,0.01,446049,0,4,"462,278",0.5436,0.3894,0.0318,0.0352,0.54,0.4,0.05
39,SouthCarolina,SC,3677799,0.212,0.231,0.34299999999999997,0.213,0.47700000000000004,0.523,0.6970000000000001,0.271,0.003,0.009000000000000001,0.0,0.026000000000000002,0.9740000000000001,0.27,0.141,0.177,0.44,0.32,0.05,0.44,0.55,0.01,0.0,0.0,1964118,9,0,"2,103,027",0.4067,0.5494,0.0234,0.0205,0.44,0.51,0.04
40,SouthDakota,SD,634140,0.21600000000000003,0.233,0.33899999999999997,0.212,0.49700000000000005,0.503,0.8859999999999999,0.008,0.071,0.006999999999999999,0.001,0.023,0.977,0.276,0.122,0.191,0.35,0.3,0.03,0.4,0.58,0.02,0.0,0.01,363815,3,0,"370,047",0.3174,0.6153,0.0563,0.011000000000000001,0.38,0.53,0.08
41,Tennessee,TN,4919574,0.20800000000000002,0.239,0.348,0.205,0.478,0.522,0.805,0.165,0.003,0.01,0.0,0.02,0.98,0.259,0.141,0.183,0.39,0.34,0.05,0.39,0.59,0.01,0.0,0.0,2458577,11,0,"2,490,799",0.349,0.6107,0.0282,0.0121,0.41,0.53,0.04
42,Texas,TX,17523904,0.23800000000000002,0.261,0.32899999999999996,0.17300000000000001,0.48700000000000004,0.513,0.77,0.133,0.005,0.036000000000000004,0.001,0.28600000000000003,0.7140000000000001,0.301,0.11599999999999999,0.264,0.36,0.32,0.05,0.41,0.57,0.01,0.0,0.0,7993851,38,0,"8,933,179",0.433,0.5243,0.0316,0.0111,0.43,0.51,0.05
43,Utah,UT,1945001,0.268,0.29100000000000004,0.28600000000000003,0.155,0.499,0.501,0.912,0.01,0.012,0.017,0.006999999999999999,0.08,0.92,0.32799999999999996,0.09699999999999999,0.265,0.32,0.25,0.03,0.25,0.73,0.01,0.0,0.01,1017440,6,0,"1,089,641",0.2776,0.4542,0.0348,0.2334,0.27,0.37,0.06
44,Vermont,VT,494717,0.198,0.20800000000000002,0.374,0.22,0.488,0.512,0.9620000000000001,0.008,0.004,0.009000000000000001,0.001,0.013000000000000001,0.987,0.369,0.092,0.231,0.29,0.25,0.03,0.67,0.31,0.01,0.0,0.01,299290,0,3,"315,067",0.5668,0.3027,0.032,0.0985,0.6,0.33,0.05
45,Virginia,VA,6062304,0.217,0.243,0.348,0.191,0.486,0.514,0.72,0.195,0.002,0.047,0.001,0.051,0.9490000000000001,0.37200000000000005,0.09699999999999999,0.321,0.29,0.29,0.04,0.51,0.47,0.01,0.0,0.01,3854489,0,13,"3,982,752",0.4975,0.4443,0.0297,0.0285,0.5,0.44,0.05
46,Washington,WA,5081800,0.212,0.245,0.34600000000000003,0.19699999999999998,0.495,0.505,0.825,0.036000000000000004,0.013000000000000001,0.062,0.005,0.067,0.9329999999999999,0.344,0.106,0.294,0.28,0.26,0.05,0.56,0.41,0.01,0.01,0.01,3125516,0,12,"3,230,745",0.5289,0.3709,0.0485,0.0517,0.53,0.4,0.05
47,WestVirginia,WV,1451557,0.18600000000000003,0.22899999999999998,0.354,0.231,0.489,0.511,0.943,0.037000000000000005,0.001,0.005,0.0,0.01,0.99,0.193,0.159,0.14300000000000002,0.54,0.36,0.06,0.36,0.62,0.01,0.01,0.01,670438,5,0,"720,447",0.2618,0.6786,0.0319,0.0278,0.33,0.6,0.05
48,Wisconsin,WI,4340567,0.20199999999999999,0.231,0.361,0.20600000000000002,0.491,0.509,0.895,0.055999999999999994,0.009000000000000001,0.018000000000000002,0.0,0.037000000000000005,0.963,0.285,0.105,0.21600000000000003,0.35,0.31,0.04,0.53,0.46,0.01,0.0,0.0,3068434,10,0,"2,977,295",0.4645,0.4726,0.0358,0.0272,0.5,0.44,0.05
49,Wyoming,WY,434584,0.215,0.252,0.34299999999999997,0.19,0.505,0.495,0.94,0.006,0.021,0.006,0.001,0.068,0.932,0.265,0.102,0.257,0.54,0.29,0.05,0.28,0.69,0.02,0.0,0.01,249061,3,0,"255,849",0.2188,0.6817,0.0519,0.0476,0.27,0.62,0.08
50,DistrictofColumbia,DC,504242,0.29,0.297,0.265,0.14800000000000002,0.466,0.534,0.431,0.48100000000000004,0.003,0.032,0.001,0.068,0.932,0.569,0.153,0.395,0.26,0.22,0.06,0.91,0.07,0.01,0.01,0.0,293764,0,3,"311,268",0.9086,0.0409,0.0158,0.0347,0.83,0.12,0.02
